D,V
1000.000,22.376
1000.303,22.455
1000.607,46.653
1000.910,21.188
1001.214,21.030
1001.517,21.584
1001.820,20.475
1002.124,20.396
1002.427,20.515
1002.731,20.277
1003.034,46.495
1003.337,20.277
1003.641,20.238
1003.944,30.614
1004.248,30.495
1004.551,46.693
1004.854,20.119
1005.158,20.158
1005.461,46.891
1005.765,19.921
1006.068,30.416
1006.371,20.000
1006.675,20.198
1006.978,47.327
1007.282,47.446
1007.585,20.436
1007.888,20.356
1008.192,20.396
1008.495,48.079
1008.799,20.436
1009.102,20.832
1009.405,20.634
1009.709,20.990
1010.012,20.832
1010.316,20.950
1010.619,21.069
1010.922,21.228
1011.226,30.614
1011.529,30.416
1011.833,21.149
1012.136,21.109
1012.439,21.188
1012.743,20.792
1013.046,20.594
1013.350,20.950
1013.653,20.594
1013.956,19.762
1014.260,19.604
1014.563,30.812
1014.867,19.604
1015.170,19.644
1015.473,48.871
1015.777,20.000
1016.080,48.752
1016.383,30.653
1016.687,20.158
1016.990,20.079
1017.294,48.436
1017.597,20.713
1017.900,20.158
1018.204,21.030
1018.507,20.634
1018.811,20.871
1019.114,21.267
1019.417,30.376
1019.721,21.941
1020.024,30.495
1020.328,22.218
1020.631,22.099
1020.934,48.158
1021.238,22.376
1021.541,30.376
1021.845,22.099
1022.148,22.020
1022.451,22.218
1022.755,22.020
1023.058,21.584
1023.362,21.782
1023.665,21.426
1023.968,21.030
1024.272,48.515
1024.575,20.832
1024.879,20.594
1025.182,20.950
1025.485,20.475
1025.789,20.119
1026.092,20.475
1026.396,30.495
1026.699,20.317
1027.002,20.040
1027.306,20.317
1027.609,20.238
1027.913,48.079
1028.216,20.356
1028.519,20.356
1028.823,20.594
1029.126,20.356
1029.430,20.238
1029.733,20.356
1030.036,20.238
1030.340,30.653
1030.643,30.653
1030.947,20.040
1031.250,20.040
1031.553,20.040
1031.857,48.673
1032.160,20.000
1032.464,30.693
1032.767,48.713
1033.070,20.079
1033.374,30.376
1033.677,20.198
1033.981,20.713
1034.284,20.356
1034.587,21.030
1034.891,48.792
1035.194,20.950
1035.498,21.069
1035.801,48.673
1036.104,30.614
1036.408,21.307
1036.711,20.792
1037.015,20.832
1037.318,21.149
1037.621,48.554
1037.925,21.267
1038.228,48.475
1038.532,21.228
1038.835,30.416
1039.138,21.307
1039.442,21.386
1039.745,48.277
1040.049,48.277
1040.352,21.980
1040.655,30.495
1040.959,21.743
1041.262,22.535
1041.566,22.099
1041.869,22.970
1042.172,30.851
1042.476,30.495
1042.779,22.931
1043.083,22.851
1043.386,22.851
1043.689,22.733
1043.993,22.218
1044.296,22.614
1044.600,21.505
1044.903,21.307
1045.206,21.861
1045.510,20.871
1045.813,21.228
1046.117,21.188
1046.420,19.723
1046.723,19.564
1047.027,20.317
1047.330,19.881
1047.633,19.248
1047.937,19.168
1048.240,19.208
1048.544,18.812
1048.847,49.901
1049.150,18.891
1049.454,30.653
