D,V
1000.000,81.090
1005.006,67.742
1010.013,54.393
1015.019,52.169
1020.025,51.056
1025.031,48.831
1030.038,51.056
1035.044,54.393
1040.050,56.618
1045.056,62.180
1050.063,61.067
1055.069,55.506
1060.075,46.607
1065.081,48.831
1070.088,49.944
1075.094,58.843
1080.100,69.966
1085.106,74.416
1090.113,72.191
1095.119,63.292
1100.125,59.955
1105.131,51.056
1110.138,52.169
1115.144,54.393
1120.150,52.169
1125.156,49.944
1130.163,48.831
1135.169,49.944
1140.175,57.730
1145.181,63.292
1150.188,58.843
1155.194,63.292
1160.200,64.404
1165.207,71.079
1170.213,78.865
1175.219,79.978
1180.225,63.292
1185.232,57.730
1190.238,47.719
1195.244,38.820
1200.250,35.483
1205.257,36.596
1210.263,42.157
1215.269,51.056
1220.275,51.056
1225.282,42.157
1230.288,47.719
1235.294,47.719
1240.300,43.270
1245.307,39.933
1250.313,49.944
1255.319,62.180
1260.325,66.629
1265.332,74.416
1270.338,82.202
1275.344,77.753
1280.350,66.629
1285.357,71.079
1290.363,66.629
1295.369,52.169
1300.375,43.270
1305.382,51.056
1310.388,55.506
1315.394,49.944
1320.401,43.270
1325.407,44.382
1330.413,46.607
1335.419,53.281
1340.426,58.843
1345.432,58.843
1350.438,51.056
1355.444,43.270
1360.451,42.157
1365.457,49.944
1370.463,58.843
1375.469,58.843
1380.476,53.281
1385.482,55.506
1390.488,61.067
1395.494,55.506
1400.501,44.382
1405.507,38.820
1410.513,39.933
1415.519,46.607
1420.526,55.506
1425.532,61.067
1430.538,57.730
1435.544,57.730
1440.551,66.629
1445.557,68.854
1450.563,72.191
1455.569,74.416
1460.576,64.404
1465.582,51.056
1470.588,63.292
1475.594,74.416
1480.601,92.213
1485.607,88.876
1490.613,69.966
1495.620,58.843
1500.626,65.517
1505.632,67.742
1510.638,58.843
1515.645,47.719
1520.651,55.506
1525.657,57.730
1530.663,54.393
1535.670,54.393
1540.676,58.843
1545.682,57.730
1550.688,48.831
1555.695,57.730
1560.701,57.730
1565.707,58.843
1570.713,65.517
1575.720,74.416
1580.726,79.978
1585.732,83.315
1590.738,84.427
1595.745,78.865
1600.751,73.303
1605.757,72.191
1610.763,73.303
1615.770,75.528
1620.776,78.865
1625.782,77.753
1630.788,73.303
1635.795,65.517
1640.801,63.848
1645.807,62.180
1650.814,68.854
1655.820,74.416
1660.826,79.978
1665.832,83.315
1670.839,82.202
1675.845,76.640
1680.851,63.292
1685.857,63.292
1690.864,59.955
1695.870,62.180
1700.876,65.517
1705.882,68.854
1710.889,66.629
1715.895,65.517
1720.901,65.517
1725.907,66.629
1730.914,68.854
1735.920,71.079
1740.926,68.854
1745.932,67.742
1750.939,69.966
1755.945,71.079
1760.951,72.191
1765.957,72.191
1770.964,68.854
1775.970,64.404
1780.976,55.506
1785.982,55.506
1790.989,62.180
1795.995,68.854
1801.001,71.079
1806.008,68.854
1811.014,68.854
1816.020,73.303
1821.026,74.416
1826.033,72.191
1831.039,69.966
1836.045,71.079
1841.051,74.416
1846.058,77.753
1851.064,81.090
1856.070,78.865
1861.076,79.978
1866.083,76.640
1871.089,76.640
1876.095,75.528
1881.101,79.978
1886.108,84.427
1891.114,76.640
1896.120,63.292
1901.126,69.966
1906.133,74.416
1911.139,75.528
1916.145,75.528
1921.151,72.191
1926.158,66.629
1931.164,61.067
1936.170,59.955
1941.176,61.067
1946.183,69.966
1951.189,69.966
1956.195,71.079
1961.202,69.966
1966.208,66.629
1971.214,56.618
1976.220,46.607
1981.227,41.045
1986.233,44.382
1991.239,52.169
1996.245,56.618
2001.252,57.730
2006.258,57.730
2011.264,56.618
2016.270,59.955
2021.277,63.292
2026.283,73.303
2031.289,75.528
2036.295,74.416
2041.302,71.079
2046.308,69.966
2051.314,71.079
2056.320,69.966
2061.327,68.854
2066.333,71.079
2071.339,73.303
2076.345,68.854
2081.352,62.180
2086.358,58.843
2091.364,53.281
2096.370,48.831
2101.377,47.719
2106.383,54.393
2111.389,57.730
